,threshold,C_FP,C_FN,TP,FP,FN,TN,Cost,Mean_alerts,Sens,Spec,Precision,F1,Youden
90,0.47000000000000003,10,4,454,220,70,135,2480,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
91,0.47000000000000003,9,8,454,220,70,135,2540,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
92,0.47000000000000003,10,5,454,220,70,135,2550,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
93,0.47000000000000003,9,9,454,220,70,135,2610,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
94,0.47000000000000003,10,6,454,220,70,135,2620,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
95,0.47000000000000003,9,10,454,220,70,135,2680,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
96,0.47000000000000003,10,7,454,220,70,135,2690,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
97,0.47000000000000003,10,8,454,220,70,135,2760,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
98,0.47000000000000003,10,9,454,220,70,135,2830,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
99,0.47000000000000003,10,10,454,220,70,135,2900,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
